transitions (M),memory(MB),memory(MB),memory(GB),memory(GB)
2.49,711.360512,708.308992,0.711360512,0.708308992
2.5,712.9833472,710.0448768,0.712983347,0.710044877
2.51,714.6881024,711.9069184,0.714688102,0.711906918
2.52,716.2396672,713.2356608,0.716239667,0.713235661
2.53,717.8805248,714.8650496,0.717880525,0.71486505
2.54,719.7433856,716.0602624,0.719743386,0.716060262
2.55,721.4292992,718.0623872,0.721429299,0.718062387
2.56,723.2438272,719.6868608,0.723243827,0.719686861
2.57,724.6503936,721.768448,0.724650394,0.721768448
2.58,726.605824,723.2462848,0.726605824,0.723246285
2.59,727.9747072,725.3950464,0.727974707,0.725395046
2.6,729.8629632,727.0023168,0.729862963,0.727002317
2.61,731.1106048,728.9626624,0.731110605,0.728962662
2.62,733.1053568,730.923008,0.733105357,0.730923008
2.63,734.5168384,732.807168,0.734516838,0.732807168
2.64,736.1323008,734.8486144,0.736132301,0.734848614
2.65,737.8960384,736.4067328,0.737896038,0.736406733
2.66,739.5115008,738.0426752,0.739511501,0.738042675
2.67,741.0450432,739.7302272,0.741045043,0.739730227
2.68,742.7694592,741.6389632,0.742769459,0.741638963
2.69,744.6593536,743.1626752,0.744659354,0.743162675
2.7,746.319872,744.9010176,0.746319872,0.744901018
2.71,747.8624256,746.3837696,0.747862426,0.74638377
2.72,749.387776,748.0180736,0.749387776,0.748018074
2.73,751.3997312,749.645824,0.751399731,0.749645824
2.74,752.8742912,751.4365952,0.752874291,0.751436595
2.75,754.6847232,753.7369088,0.754684723,0.753736909
2.76,756.0896512,755.5497984,0.756089651,0.755549798
2.77,757.8443776,757.3184512,0.757844378,0.757318451
2.78,759.5892736,758.8175872,0.759589274,0.758817587
2.79,761.2751872,760.70912,0.761275187,0.76070912
2.8,762.826752,762.4802304,0.762826752,0.76248023
2.81,764.411904,764.3742208,0.764411904,0.764374221
2.82,766.0470272,766.2444544,0.766047027,0.766244454
2.83,767.7763584,767.8738432,0.767776358,0.767873843
2.84,769.1870208,769.5908864,0.769187021,0.769590886
2.85,770.8065792,771.3128448,0.770806579,0.771312845
2.86,772.5064192,772.5760512,0.772506419,0.772576051
2.87,774.2603264,774.4815104,0.774260326,0.77448151
2.88,775.8487552,775.9364096,0.775848755,0.77593641
2.89,777.0750976,777.8689024,0.777075098,0.777868902
2.9,779.1878144,779.3369088,0.779187814,0.779336909
2.91,780.705792,781.1432448,0.780705792,0.781143245
2.92,782.2737408,782.5113088,0.782273741,0.782511309
2.93,783.6925952,784.4855808,0.783692595,0.784485581
2.94,785.3539328,785.9920896,0.785353933,0.78599209
2.95,786.7301888,787.9614464,0.786730189,0.787961446
2.96,788.5635584,789.7759744,0.788563558,0.789775974
2.97,790.2027776,791.6101632,0.790202778,0.791610163
2.98,791.8108672,793.2796928,0.791810867,0.793279693
2.99,793.3018112,794.6412032,0.793301811,0.794641203
3,794.8238848,796.291072,0.794823885,0.796291072
3.01,796.5007872,797.843456,0.796500787,0.797843456
3.02,798.0417024,799.60064,0.798041702,0.79960064
3.03,799.7915136,801.1431936,0.799791514,0.801143194
3.04,801.2251136,802.6308608,0.801225114,0.802630861
3.05,802.7430912,804.6379008,0.802743091,0.804637901
3.06,804.122624,806.1100032,0.804122624,0.806110003
3.07,805.8093568,808.0556032,0.805809357,0.808055603
3.08,807.1856128,810.1142528,0.807185613,0.810114253
3.09,808.9690112,811.4659328,0.808969011,0.811465933
3.1,810.7245568,813.2427776,0.810724557,0.813242778
3.11,812.4366848,814.7132416,0.812436685,0.814713242
3.12,814.0152832,816.5433344,0.814015283,0.816543334
3.13,815.755264,818.1284864,0.815755264,0.818128486
3.14,817.270784,819.7791744,0.817270784,0.819779174
3.15,818.9427712,821.5134208,0.818942771,0.821513421
3.16,820.4853248,823.0977536,0.820485325,0.823097754
3.17,821.8370048,825.1588608,0.821837005,0.825158861
