transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
3.05,208.596992,215.3545728,0.208596992,0.215354573
3.06,208.8902656,215.3586688,0.208890266,0.215358669
3.07,209.129472,215.4340352,0.209129472,0.215434035
3.08,209.3555712,215.658496,0.209355571,0.215658496
3.09,209.5939584,215.883776,0.209593958,0.215883776
3.1,209.8323456,216.4047872,0.209832346,0.216404787
3.11,210.04288,217.018368,0.21004288,0.217018368
3.12,210.3017472,217.4877696,0.210301747,0.21748777
3.13,210.3386112,218.1701632,0.210338611,0.218170163
3.14,210.3590912,217.76384,0.210359091,0.21776384
3.15,210.3803904,217.7523712,0.21038039,0.217752371
3.16,210.3721984,217.7499136,0.210372198,0.217749914
3.17,210.3640064,217.747456,0.210364006,0.217747456
3.18,210.41152,217.7409024,0.21041152,0.217740902
3.19,210.419712,217.7531904,0.210419712,0.21775319
3.2,210.4172544,217.8039808,0.210417254,0.217803981
3.21,210.6015744,217.9596288,0.210601574,0.217959629
3.22,210.9423616,218.3938048,0.210942362,0.218393805
3.23,211.2069632,218.8189696,0.211206963,0.21881897
3.24,211.5772416,219.295744,0.211577242,0.219295744
3.25,212.1596928,219.6414464,0.212159693,0.219641446
3.26,212.5897728,219.6455424,0.212589773,0.219645542
3.27,213.0591744,219.8372352,0.213059174,0.219837235
3.28,213.5687168,219.4325504,0.213568717,0.21943255
3.29,213.798912,218.9934592,0.213798912,0.218993459
3.3,214.110208,218.9910016,0.214110208,0.218991002
3.31,214.4034816,218.9950976,0.214403482,0.218995098
3.32,214.4821248,218.9901824,0.214482125,0.218990182
3.33,214.5337344,219.1024128,0.214533734,0.219102413
3.34,214.5697792,219.4481152,0.214569779,0.219448115
3.35,214.5763328,219.9576576,0.214576333,0.219957658
3.36,214.5681408,220.495872,0.214568141,0.220495872
3.37,214.5624064,221.106176,0.214562406,0.221106176
3.38,214.5558528,221.8049536,0.214555853,0.221804954
3.39,214.5509376,222.0007424,0.214550938,0.222000742
3.4,214.5386496,222.0023808,0.21453865,0.222002381
3.41,214.5312768,222.0032,0.214531277,0.2220032
3.42,214.5271808,222.0007424,0.214527181,0.222000742
3.43,214.5869824,221.9933696,0.214586982,0.22199337
3.44,214.716416,221.9876352,0.214716416,0.221987635
3.45,214.8458496,221.9835392,0.21484585,0.221983539
3.46,214.9081088,222.1924352,0.214908109,0.222192435
3.47,214.7639296,222.6724864,0.21476393,0.222672486
3.48,214.8794368,223.2328192,0.214879437,0.223232819
3.49,214.9515264,223.7349888,0.214951526,0.223734989
3.5,215.0170624,223.7939712,0.215017062,0.223793971
3.51,215.1079936,223.1427072,0.215107994,0.223142707
3.52,215.2390656,223.1468032,0.215239066,0.223146803
3.53,215.4225664,223.1410688,0.215422566,0.223141069
3.54,215.6863488,223.1353344,0.215686349,0.223135334
3.55,215.871488,223.1279616,0.215871488,0.223127962
3.56,216.0836608,223.2713216,0.216083661,0.223271322
3.57,216.2950144,223.5899904,0.216295014,0.22358999
3.58,216.5055488,224.0700416,0.216505549,0.224070042
3.59,216.743936,224.4960256,0.216743936,0.224496026
3.6,216.7660544,224.9883648,0.216766054,0.224988365
3.61,216.8102912,225.3676544,0.216810291,0.225367654
3.62,216.8315904,225.4036992,0.21683159,0.225403699
3.63,216.891392,225.4094336,0.216891392,0.225409434
3.64,217.0847232,224.7041024,0.217084723,0.224704102
3.65,217.2919808,224.70656,0.217291981,0.22470656
3.66,217.5279104,224.7041024,0.21752791,0.224704102
3.67,217.8146304,224.6959104,0.21781463,0.22469591
3.68,218.0513792,224.690176,0.218051379,0.224690176
3.69,218.3856128,224.690176,0.218385613,0.224690176
3.7,218.611712,224.8523776,0.218611712,0.224852378
3.71,218.857472,225.120256,0.218857472,0.225120256
3.72,218.9606912,225.4913536,0.218960691,0.225491354
3.73,219.1327232,225.9828736,0.219132723,0.225982874
3.74,219.2621568,226.4375296,0.219262157,0.22643753
